index,Run,STC,DrCIF,Arsenal,TDE
0,10,0.007731988996777697,0.010883556383343686,0.0033157423580970815,0.00893876226378813
1,20,0.011257206890884115,0.016364474039954217,0.00708706250933698,0.016532098527341058
2,30,0.011383869013780532,0.0144508092988655,0.00893876226378813,0.021157429894468976
3,40,0.016033052383718226,0.015385336597259918,0.010639676840754128,0.023255884371941645
4,50,0.018099309048486792,0.019775390625,0.010519285668957531,0.022398617313460087
5,60,0.020556547223278952,0.022610673750914533,0.014912583185867885,0.03157371508280493
6,70,0.021771390460197108,0.03468984396252352,0.019583630676930173,0.03157371508280493
7,80,0.02016313184908039,0.043662508870334786,0.022824232352163427,0.036180067256836194
8,90,0.0230393001945228,0.04837380609172451,0.028418937604626434,0.038346412329240055
9,100,0.025506697135728004,0.046518843876155694,0.028167165621736854,0.039304028986574514
10,110,0.030761572016281012,0.056353748769293714,0.029442941416519482,0.053051877729553304
11,120,0.03157371508280493,0.06341741586181,0.039304028986574514,0.05593280757638026
12,130,0.033818100867424136,0.06864505043291726,0.0433149483380985,0.066230334691219
13,140,0.04471774851151171,0.06528250975635577,0.04799845340373988,0.07735157073306143
14,150,0.042969466924768523,0.08397805851345436,0.04951308147999568,0.08006302638827367
15,160,0.04762528935425602,0.08922058633006874,0.05427258050803372,0.07575811536176139
16,170,0.04471774851151171,0.0910214497414318,0.06528250975635577,0.1057493855910608
17,180,0.04762528935425602,0.1057493855910608,0.07112520123542287,0.09223707831925268
18,190,0.050672363089282295,0.12219622989755453,0.07575811536176139,0.09162775205796438
19,200,0.053863364006317783,0.11554767628282736,0.07788826652362836,0.10642780770269727
20,210,0.06528250975635577,0.1206946043450545,0.07897003181294843,0.10779443942575366
21,220,0.07735157073306143,0.12295227546954848,0.09470482382104492,0.13553278565068771
22,230,0.06481243058908294,0.1260115949406419,0.09595710201800414,0.1260115949406419
23,240,0.08061375884872063,0.1388232650225725,0.10440227684805112,0.14472533621929917
24,250,0.08228301343494442,0.13471938788248097,0.10917419070193288,0.1307071790685082
25,260,0.08172374264178597,0.15527857481920232,0.1057493855910608,0.13965516241116344
26,270,0.08862627974542409,0.152587890625,0.10109081171704835,0.13634986117126213
27,280,0.09223707831925268,0.15081363167835318,0.10306807958008275,0.1379950897630334
28,290,0.09658787788745007,0.1626277830994828,0.10507421210193577,0.14302019622061007
29,300,0.1057493855910608,0.16450514067149374,0.11554767628282736,0.14302019622061007
30,310,0.11482606926888153,0.17023482945206606,0.11773291463295459,0.13965516241116344
31,320,0.10848266989488055,0.17120413564133471,0.10642780770269727,0.15618332741448573
32,330,0.10306807958008275,0.15984193260669993,0.10917419070193288,0.16356444177678853
33,340,0.1162726790875391,0.1761129039518783,0.11126859993816497,0.16735159475792968
34,350,0.11554767628282736,0.19681093468925936,0.12219622989755453,0.15527857481920232
35,360,0.11994900284152403,0.1925325958048092,0.11920686119884497,0.18728320905295773
36,370,0.11773291463295459,0.1852138011778779,0.12371182394844316,0.17120413564133471
37,380,0.12295227546954848,0.22281154403421116,0.12912765424962303,0.1852138011778779
38,390,0.11920686119884497,0.2089443419698544,0.1516988156957704,0.19041977523514628
39,400,0.14049079306455992,0.2112093006057033,0.152587890625,0.18112648144291557
40,410,0.13150235353104925,0.2146412027703699,0.1516988156957704,0.1791083787699437
41,420,0.13310358140944814,0.21811475928528085,0.1626277830994828,0.1893699099187081
42,430,0.1499323272041335,0.22163030584475088,0.17120413564133471,0.18728320905295773
43,440,0.14133016813514815,0.23243226294268599,0.17023482945206606,0.17413690213349897
44,450,0.15618332741448573,0.25521583334482173,0.16735159475792968,0.19147399984699148
45,460,0.16450514067149374,0.27268328028198374,0.18011531025414584,0.20446912328618447
46,470,0.17413690213349897,0.2565288381394916,0.17810567512270606,0.19573473250924195
47,480,0.1761129039518783,0.2658622726289688,0.188324391863745,0.21007453191256892
48,490,0.16450514067149374,0.28815088947854456,0.19466295004378686,0.21349262365969623
49,500,0.15984193260669993,0.29686012764615877,0.20446912328618447,0.2055811213941422
50,510,0.19359557517579737,0.28815088947854456,0.2146412027703699,0.21579441013109307
51,520,0.1925325958048092,0.3148693675938434,0.2146412027703699,0.21928192596162363
52,530,0.18418555216215152,0.31640625,0.22163030584475088,0.2089443419698544
53,540,0.18112648144291557,0.34504435579870135,0.22638360183952802,0.21928192596162363
54,550,0.2033616424283502,0.34504435579870135,0.23243226294268599,0.2089443419698544
55,560,0.20006618093714867,0.3583778770153614,0.2373578087676004,0.22281154403421116
56,570,0.2033616424283502,0.32574602929013824,0.22758377735212343,0.22638360183952802
57,580,0.19041977523514628,0.3755838719200298,0.23860133097388617,0.23365639334737992
58,590,0.1925325958048092,0.3738359569232877,0.2513070478409076,0.22999843821551472
59,600,0.23243226294268599,0.37035843675725205,0.2565288381394916,0.22638360183952802
60,610,0.21811475928528085,0.40070404185889125,0.2591700399361915,0.22638360183952802
61,620,0.2033616424283502,0.3970404860827216,0.2699393194047604,0.23860133097388617
62,630,0.20669764901901663,0.39340210927354635,0.2631700181292815,0.2146412027703699
63,640,0.2112093006057033,0.4194035710005453,0.2618315846392675,0.21579441013109307
64,650,0.20446912328618447,0.40439289250038196,0.2754481076705397,0.23243226294268599
65,660,0.2112093006057033,0.4118469433032709,0.2699393194047604,0.21695225815835584
66,670,0.21349262365969623,0.40810715417164806,0.2658622726289688,0.22045377065377317
67,680,0.21928192596162363,0.39521815754050965,0.27268328028198374,0.21811475928528085
68,690,0.21811475928528085,0.4387500721701055,0.2713086981140206,0.21811475928528085
69,700,0.21695225815835584,0.4232206437579947,0.2631700181292815,0.22758377735212343
70,710,0.2373578087676004,0.4118469433032709,0.2699393194047604,0.231212948781848
71,720,0.22878871861096817,0.4387500721701055,0.27268328028198374,0.22518817949036285
72,730,0.22638360183952802,0.4289950318915623,0.2852908531445495,0.2448923933393554
73,740,0.23243226294268599,0.44468238335080185,0.286718196717443,0.21579441013109307
74,750,0.22638360183952802,0.4289950318915623,0.2713086981140206,0.2112093006057033
75,760,0.231212948781848,0.41750474633569135,0.2796347043585185,0.23243226294268599
76,770,0.231212948781848,0.4289950318915623,0.28245216025481307,0.22518817949036285
77,780,0.231212948781848,0.41750474633569135,0.29980660758790023,0.23365639334737992
78,790,0.23860133097388617,0.43482830840504405,0.2953950588670321,0.252604951135957
79,800,0.2373578087676004,0.4251389212243626,0.2924811964536068,0.22878871861096817
80,810,0.24362434477472936,0.440720872314358,0.29686012764615877,0.2423612270466004
81,820,0.22758377735212343,0.45067464994778966,0.3012880456958783,0.23488535266191357
82,830,0.24744333425745293,0.43482830840504405,0.28958894477578867,0.2448923933393554
83,840,0.25521583334482173,0.45672727456970197,0.29980660758790023,0.23365639334737992
84,850,0.2539078753265581,0.45470300167402294,0.30726876751394483,0.23243226294268599
85,860,0.24744333425745293,0.4486705412112094,0.29686012764615877,0.2423612270466004
86,870,0.24744333425745293,0.45672727456970197,0.3148693675938434,0.2423612270466004
87,880,0.2631700181292815,0.46284066117244005,0.3118124060637905,0.24872625229218423
88,890,0.25521583334482173,0.4669502089912164,0.30726876751394483,0.2373578087676004
89,900,0.2500141525259316,0.4466731239826903,0.3027749672198913,0.2411030273559212
90,910,0.24872625229218423,0.45268546512049535,0.3012880456958783,0.2423612270466004
91,920,0.231212948781848,0.46284066117244005,0.3102922996618722,0.21811475928528085
92,930,0.2591700399361915,0.4648920293826813,0.30877775801106666,0.23365639334737992
93,940,0.25521583334482173,0.4270637123593957,0.29393541961321445,0.2513070478409076
94,950,0.2618315846392675,0.4731657669010248,0.29980660758790023,0.231212948781848
95,960,0.2699393194047604,0.45470300167402294,0.32261010958528624,0.22399749773844177
96,970,0.2565288381394916,0.45268546512049535,0.31640625,0.23488535266191357
97,980,0.2618315846392675,0.45268546512049535,0.31949688641437507,0.22163030584475088
98,990,0.2591700399361915,0.45470300167402294,0.32105066780041325,0.231212948781848
99,1000,0.24362434477472936,0.46284066117244005,0.32417522549948613,0.2373578087676004
100,1010,0.2448923933393554,0.4710870626643117,0.32732253472100015,0.2448923933393554
101,1020,0.2448923933393554,0.46284066117244005,0.32890475557246324,0.24872625229218423
102,1030,0.2604982629188736,0.45067464994778966,0.32574602929013824,0.23243226294268599
103,1040,0.2618315846392675,0.4648920293826813,0.32105066780041325,0.23488535266191357
104,1050,0.2658622726289688,0.49004405634748,0.32574602929013824,0.23365639334737992
105,1060,0.2539078753265581,0.45268546512049535,0.3179487517133129,0.24362434477472936
106,1070,0.2539078753265581,0.4731657669010248,0.32417522549948613,0.2361191535689037
107,1080,0.2591700399361915,0.4731657669010248,0.32890475557246324,0.257846902675945
108,1090,0.2448923933393554,0.4731657669010248,0.32417522549948613,0.2461653855561587
109,1100,0.2565288381394916,0.46079608931599847,0.31640625,0.2361191535689037
110,1110,0.2699393194047604,0.4669502089912164,0.31333809083088277,0.22758377735212343
111,1120,0.2658622726289688,0.4921851522604962,0.3027749672198913,0.22518817949036285
112,1130,0.2631700181292815,0.48154945263364346,0.3102922996618722,0.22758377735212343
113,1140,0.2604982629188736,0.4773438057299136,0.3148693675938434,0.22518817949036285
114,1150,0.2658622726289688,0.4710870626643117,0.32105066780041325,0.2411030273559212
115,1160,0.2513070478409076,0.46284066117244005,0.31949688641437507,0.2423612270466004
116,1170,0.2713086981140206,0.4773438057299136,0.3179487517133129,0.2411030273559212
117,1180,0.2713086981140206,0.47525134288033916,0.31949688641437507,0.22758377735212343
118,1190,0.26451357643745693,0.46901521505917326,0.32105066780041325,0.23488535266191357
119,1200,0.26451357643745693,0.45672727456970197,0.32261010958528624,0.23984973292027692
120,1210,0.257846902675945,0.46901521505917326,0.32890475557246324,0.2423612270466004
121,1220,0.2699393194047604,0.46079608931599847,0.32732253472100015,0.25521583334482173
122,1230,0.2699393194047604,0.4857828289661461,0.3385188783115036,0.2631700181292815
123,1240,0.2411030273559212,0.4648920293826813,0.3352910693742963,0.23984973292027692
124,1250,0.23984973292027692,0.46901521505917326,0.34504435579870135,0.2448923933393554
125,1260,0.27268328028198374,0.4836626670262818,0.32890475557246324,0.24744333425745293
126,1270,0.2539078753265581,0.48154945263364346,0.32105066780041325,0.2565288381394916
127,1280,0.2672161197856241,0.4794431705940399,0.33368584870386137,0.24744333425745293
128,1290,0.2591700399361915,0.47525134288033916,0.33049270564155114,0.23488535266191357
129,1300,0.2658622726289688,0.46901521505917326,0.33049270564155114,0.2500141525259316
130,1310,0.2448923933393554,0.4648920293826813,0.32105066780041325,0.26451357643745693
131,1320,0.26451357643745693,0.4648920293826813,0.32574602929013824,0.25521583334482173
132,1330,0.2539078753265581,0.4731657669010248,0.32574602929013824,0.2361191535689037
133,1340,0.2658622726289688,0.4731657669010248,0.32417522549948613,0.2685751310058636
134,1350,0.2591700399361915,0.48154945263364346,0.33368584870386137,0.2513070478409076
135,1360,0.2591700399361915,0.4669502089912164,0.32890475557246324,0.2461653855561587
136,1370,0.2604982629188736,0.48154945263364346,0.3320863987419205,0.23243226294268599
137,1380,0.2411030273559212,0.4669502089912164,0.31949688641437507,0.21928192596162363
138,1390,0.252604951135957,0.45672727456970197,0.33049270564155114,0.2631700181292815
139,1400,0.2685751310058636,0.4794431705940399,0.32890475557246324,0.23365639334737992
140,1410,0.26451357643745693,0.4669502089912164,0.32261010958528624,0.23860133097388617
141,1420,0.2699393194047604,0.4943332566638309,0.32574602929013824,0.252604951135957
142,1430,0.2591700399361915,0.47525134288033916,0.32574602929013824,0.2411030273559212
143,1436,0.28104078432526614,0.4773438057299136,0.3320863987419205,0.23488535266191357
